Load Time (ms),Sample Time (ms),Sample Runs,Sample Throughput (tokens/second),Prefill Time (ms),Prefill Tokens,Prefill Throughput (tokens/second),Decode Time (ms),Decode Runs,Decode Throughput (tokens/second),Total Time (ms),Total Tokens,model
213.85,51.09,500,9786.08,469.58,38.0,57.39125,46170.14,499.0,9.990000000000002,47750.54,537.0,Yi
213.85,50.08,500,9984.22,270.9,7.0,25.84,45642.92,499.0,9.990000000000002,47008.85,506.0,Yi
213.85,48.6,500,10287.22,321.55,22.0,57.39125,45955.64,499.0,9.990000000000002,47338.94,521.0,Yi
213.85,47.3,500,10569.93,574.06,53.0,57.39125,46592.1,499.0,9.990000000000002,48212.61,552.0,Yi
213.85,46.49,500,10754.08,364.27,23.0,57.39125,45892.57,499.0,9.990000000000002,47291.56,522.0,Yi
213.85,49.37,500,10126.99,529.56,42.0,57.39125,46323.11,499.0,9.990000000000002,47938.54,541.0,Yi
213.85,47.17,500,10599.73,330.38,14.0,42.38,45766.22,499.0,9.990000000000002,47141.54,513.0,Yi
213.85,53.42,500,9360.32,209.33,6.0,28.66,45659.04,499.0,9.990000000000002,47014.23,505.0,Yi
213.85,51.21,500,9763.53,305.3,19.0,57.39125,45814.55,499.0,9.990000000000002,47248.49,518.0,Yi
213.85,47.89,500,10439.94,772.6,72.0,57.39125,47039.34,499.0,9.990000000000002,48893.34,571.0,Yi
213.85,45.34,500,11027.06,307.7,22.0,57.39125,45948.99,499.0,9.990000000000002,47304.14,521.0,Yi
213.85,30.12,321,10655.6,216.63,20.0,57.39125,28534.99,320.0,9.990000000000002,29352.03,340.0,Yi
213.85,48.1,500,10395.44,383.53,36.0,57.39125,46273.77,499.0,9.990000000000002,47735.13,535.0,Yi
213.85,44.94,500,11126.19,595.48,56.0,57.39125,46574.26,499.0,9.990000000000002,48159.78,555.0,Yi
213.85,48.16,500,10382.92,410.99,27.0,57.39125,46032.95,499.0,9.990000000000002,47500.35,526.0,Yi
213.85,47.04,500,10629.48,416.1,30.0,57.39125,46182.5,499.0,9.990000000000002,47644.61,529.0,Yi
213.85,47.32,500,10565.46,414.31,27.0,57.39125,46035.25,499.0,9.990000000000002,47524.18,526.0,Yi
213.85,47.48,500,10530.31,378.91,26.0,57.39125,46013.28,499.0,9.990000000000002,47446.78,525.0,Yi
213.85,45.37,500,11019.53,161.82,16.0,57.39125,45761.62,499.0,9.990000000000002,46942.32,515.0,Yi
213.85,47.25,500,10581.79,244.8,20.0,57.39125,45866.61,499.0,9.990000000000002,47151.16,519.0,Yi
213.85,49.29,500,10144.66,257.39,18.0,57.39125,45826.42,499.0,9.990000000000002,47206.23,517.0,Yi
213.85,46.46,500,10761.71,481.91,48.0,57.39125,46423.99,499.0,9.990000000000002,47935.67,547.0,Yi
213.85,46.63,500,10723.4,258.5,10.0,38.68,45695.29,499.0,9.990000000000002,46998.09,509.0,Yi
213.85,50.49,500,9902.95,306.1,32.0,57.39125,46153.71,499.0,9.990000000000002,47578.32,531.0,Yi
213.85,45.48,500,10993.6,329.69,22.0,57.39125,45908.79,499.0,9.990000000000002,47248.11,521.0,Yi
